Team Name,Team Year,Team Wins,Team Losses
BostonBruins,1990,44,24
BuffaloSabres,1990,31,30
CalgaryFlames,1990,46,26
ChicagoBlackhawks,1990,49,23
DetroitRedWings,1990,34,38
EdmontonOilers,1990,37,37
HartfordWhalers,1990,31,38
LosAngelesKings,1990,46,24
MinnesotaNorthStars,1990,27,39
MontrealCanadiens,1990,39,30
NewJerseyDevils,1990,32,33
NewYorkIslanders,1990,25,45
NewYorkRangers,1990,36,31
PhiladelphiaFlyers,1990,33,37
PittsburghPenguins,1990,41,33
QuebecNordiques,1990,16,50
St.LouisBlues,1990,47,22
TorontoMapleLeafs,1990,23,46
VancouverCanucks,1990,28,43
WashingtonCapitals,1990,37,36
WinnipegJets,1990,26,43
BostonBruins,1991,36,32
BuffaloSabres,1991,31,37
CalgaryFlames,1991,31,37
ChicagoBlackhawks,1991,36,29
EdmontonOilers,1994,17,27
FloridaPanthers,1994,20,22
HartfordWhalers,1994,19,24
LosAngelesKings,1994,16,23
MontrealCanadiens,1994,18,23
NewJerseyDevils,1994,22,18
NewYorkIslanders,1994,15,28
NewYorkRangers,1994,22,23
OttawaSenators,1994,9,34
PhiladelphiaFlyers,1994,28,16
PittsburghPenguins,1994,29,16
QuebecNordiques,1994,30,13
SanJoseSharks,1994,19,25
St.LouisBlues,1994,28,15
TampaBayLightning,1994,17,28
TorontoMapleLeafs,1994,21,19
VancouverCanucks,1994,18,18
WashingtonCapitals,1994,22,18
WinnipegJets,1994,16,25
MightyDucksofAnaheim,1995,35,39
BostonBruins,1995,40,31
BuffaloSabres,1995,33,42
CalgaryFlames,1995,34,37
ChicagoBlackhawks,1995,40,28
ColoradoAvalanche,1995,47,25
LosAngelesKings,1992,39,35
MinnesotaNorthStars,1992,36,38
MontrealCanadiens,1992,48,30
NewJerseyDevils,1992,40,37
NewYorkIslanders,1992,40,37
NewYorkRangers,1992,34,39
OttawaSenators,1992,10,70
PhiladelphiaFlyers,1992,36,37
PittsburghPenguins,1992,56,21
QuebecNordiques,1992,47,27
SanJoseSharks,1992,11,71
St.LouisBlues,1992,37,36
TampaBayLightning,1992,23,54
TorontoMapleLeafs,1992,44,29
VancouverCanucks,1992,46,29
WashingtonCapitals,1992,43,34
WinnipegJets,1992,40,37
MightyDucksofAnaheim,1993,33,46
BostonBruins,1993,42,29
BuffaloSabres,1993,43,32
CalgaryFlames,1993,42,29
ChicagoBlackhawks,1993,39,36
DallasStars,1993,42,29
DetroitRedWings,1993,46,30
EdmontonOilers,1993,25,45
FloridaPanthers,1993,33,34
HartfordWhalers,1993,27,48
DetroitRedWings,1991,43,25
EdmontonOilers,1991,36,34
HartfordWhalers,1991,26,41
LosAngelesKings,1993,27,45
MontrealCanadiens,1993,41,29
NewJerseyDevils,1993,47,25
NewYorkIslanders,1993,36,36
NewYorkRangers,1993,52,24
OttawaSenators,1993,14,61
PhiladelphiaFlyers,1993,35,39
PittsburghPenguins,1993,44,27
QuebecNordiques,1993,34,42
SanJoseSharks,1993,33,35
LosAngelesKings,1991,35,31
MinnesotaNorthStars,1991,32,42
MontrealCanadiens,1991,41,28
NewJerseyDevils,1991,38,31
NewYorkIslanders,1991,34,35
NewYorkRangers,1991,50,25
PhiladelphiaFlyers,1991,32,37
PittsburghPenguins,1991,39,32
QuebecNordiques,1991,20,48
SanJoseSharks,1991,17,58
St.LouisBlues,1991,36,33
TorontoMapleLeafs,1991,30,43
St.LouisBlues,1993,40,33
TampaBayLightning,1993,30,43
TorontoMapleLeafs,1993,43,29
VancouverCanucks,1993,41,40
WashingtonCapitals,1993,39,35
WinnipegJets,1993,24,51
MightyDucksofAnaheim,1994,16,27
BostonBruins,1994,27,18
BuffaloSabres,1994,22,19
CalgaryFlames,1994,24,17
ChicagoBlackhawks,1994,24,19
VancouverCanucks,1991,42,26
WashingtonCapitals,1991,45,27
WinnipegJets,1991,33,32
BostonBruins,1992,51,26
BuffaloSabres,1992,38,36
CalgaryFlames,1992,43,30
ChicagoBlackhawks,1992,47,25
DetroitRedWings,1992,47,28
EdmontonOilers,1992,26,50
HartfordWhalers,1992,26,52
DallasStars,1994,17,23
DetroitRedWings,1994,33,11
DallasStars,1995,26,42
DetroitRedWings,1995,62,13
EdmontonOilers,1995,30,44
FloridaPanthers,1995,41,31
HartfordWhalers,1995,34,39
LosAngelesKings,1995,24,40
MontrealCanadiens,1995,40,32
NewJerseyDevils,1995,37,33
NewYorkIslanders,1995,22,50
NewYorkRangers,1995,41,27
OttawaSenators,1995,18,59
PhiladelphiaFlyers,1995,45,24
PittsburghPenguins,1995,49,29
SanJoseSharks,1995,20,55
St.LouisBlues,1995,32,34
TampaBayLightning,1995,38,32
TorontoMapleLeafs,1995,34,36
VancouverCanucks,1995,32,35
WashingtonCapitals,1995,39,32
WinnipegJets,1995,36,40
MightyDucksofAnaheim,1996,36,33
BostonBruins,1996,26,47
BuffaloSabres,1996,40,30
CalgaryFlames,1996,32,41
ChicagoBlackhawks,1996,34,35
PittsburghPenguins,2000,42,28
